date,Symbol,rv5_ss,rv10_ss,medrv,rk_twoscale,rsv,rv10,rsv_ss,bv,rk_th2,rk_parzen,open_price,close_time,rv5,bv_ss
2018-08-08 00:00:00+01:00,S&P500,7.63E-06,7.75E-06,4.80E-06,6.47E-06,3.83E-06,7.75E-06,3.83E-06,7.10E-06,6.36E-06,6.79E-06,2856.79,160001,7.63E-06,7.10E-06
2018-08-09 00:00:00+01:00,S&P500,7.53E-06,6.38E-06,2.88E-06,6.47E-06,5.26E-06,6.38E-06,5.26E-06,4.74E-06,6.33E-06,5.76E-06,2857.19,160000,7.53E-06,4.74E-06
2018-08-10 00:00:00+01:00,S&P500,2.29E-05,2.22E-05,1.18E-05,2.11E-05,1.10E-05,2.22E-05,1.10E-05,2.65E-05,1.99E-05,1.71E-05,2839.64,160001,2.29E-05,2.65E-05
2018-08-13 00:00:00+01:00,S&P500,2.57E-05,2.13E-05,1.29E-05,1.91E-05,1.49E-05,2.13E-05,1.49E-05,2.09E-05,1.84E-05,2.54E-05,2835.46,160001,2.57E-05,2.09E-05
2018-08-14 00:00:00+01:00,S&P500,1.78E-05,1.37E-05,5.97E-06,1.56E-05,7.22E-06,1.37E-05,7.22E-06,1.39E-05,1.50E-05,1.15E-05,2827.88,160001,1.78E-05,1.39E-05
2018-08-15 00:00:00+01:00,S&P500,4.49E-05,4.59E-05,2.46E-05,4.02E-05,2.55E-05,4.59E-05,2.55E-05,4.59E-05,3.94E-05,4.49E-05,2827.95,160001,4.49E-05,4.59E-05
2018-08-16 00:00:00+01:00,S&P500,1.64E-05,1.31E-05,9.25E-06,1.33E-05,6.07E-06,1.31E-05,6.07E-06,1.34E-05,1.31E-05,1.38E-05,2831.44,160001,1.64E-05,1.34E-05
2018-08-17 00:00:00+01:00,S&P500,1.75E-05,1.64E-05,4.73E-06,1.49E-05,4.91E-06,1.64E-05,4.91E-06,1.36E-05,1.47E-05,1.50E-05,2838.32,160001,1.75E-05,1.36E-05
2018-08-20 00:00:00+01:00,S&P500,8.40E-06,7.26E-06,3.26E-06,7.79E-06,4.25E-06,7.26E-06,4.25E-06,8.37E-06,7.90E-06,3.67E-06,2853.93,160001,8.40E-06,8.37E-06
2018-08-21 00:00:00+01:00,S&P500,8.96E-06,1.11E-05,2.78E-06,8.83E-06,4.60E-06,1.11E-05,4.60E-06,7.89E-06,8.71E-06,9.42E-06,2861.51,160001,8.96E-06,7.89E-06
2018-08-22 00:00:00+01:00,S&P500,9.85E-06,9.25E-06,5.62E-06,9.46E-06,5.01E-06,9.25E-06,5.01E-06,9.97E-06,9.23E-06,8.64E-06,2860.99,160001,9.85E-06,9.97E-06
2018-08-23 00:00:00+01:00,S&P500,1.28E-05,1.40E-05,3.98E-06,1.13E-05,7.80E-06,1.40E-05,7.80E-06,1.19E-05,1.12E-05,1.39E-05,2860.29,160000,1.28E-05,1.19E-05
2018-08-24 00:00:00+01:00,S&P500,8.78E-06,9.41E-06,5.17E-06,8.49E-06,2.75E-06,9.41E-06,2.75E-06,8.43E-06,8.49E-06,7.32E-06,2862.35,160001,8.78E-06,8.43E-06
2018-08-27 00:00:00+01:00,S&P500,8.59E-06,9.95E-06,3.95E-06,8.34E-06,3.00E-06,9.95E-06,3.00E-06,7.33E-06,7.96E-06,8.24E-06,2884.69,160001,8.59E-06,7.33E-06
2018-08-28 00:00:00+01:00,S&P500,9.34E-06,1.17E-05,5.16E-06,6.35E-06,5.47E-06,1.17E-05,5.47E-06,9.41E-06,6.22E-06,5.63E-06,2901.45,160001,9.34E-06,9.41E-06
2018-08-29 00:00:00+01:00,S&P500,6.73E-06,7.22E-06,3.29E-06,6.70E-06,2.20E-06,7.22E-06,2.20E-06,7.50E-06,6.61E-06,7.80E-06,2900.62,160001,6.73E-06,7.50E-06
2018-08-30 00:00:00+01:00,S&P500,2.01E-05,1.72E-05,6.89E-06,2.04E-05,1.47E-05,1.72E-05,1.47E-05,1.53E-05,2.00E-05,1.87E-05,2908.94,160000,2.01E-05,1.53E-05
2018-08-31 00:00:00+01:00,S&P500,1.49E-05,1.48E-05,9.88E-06,1.48E-05,7.47E-06,1.48E-05,7.47E-06,1.46E-05,1.46E-05,1.14E-05,2898.37,160001,1.49E-05,1.46E-05
2018-09-04 00:00:00+01:00,S&P500,2.31E-05,2.43E-05,1.12E-05,1.96E-05,1.27E-05,2.43E-05,1.27E-05,2.03E-05,1.90E-05,2.53E-05,2896.96,160001,2.31E-05,2.03E-05
2018-09-05 00:00:00+01:00,S&P500,3.51E-05,3.00E-05,1.61E-05,2.31E-05,1.98E-05,3.00E-05,1.98E-05,3.41E-05,2.30E-05,2.24E-05,2891.59,160001,3.51E-05,3.41E-05
2018-09-06 00:00:00+01:00,S&P500,3.49E-05,3.58E-05,1.55E-05,2.99E-05,1.99E-05,3.58E-05,1.99E-05,2.96E-05,3.01E-05,2.65E-05,2888.64,160000,3.49E-05,2.96E-05
2018-09-07 00:00:00+01:00,S&P500,3.81E-05,2.94E-05,2.08E-05,3.17E-05,1.78E-05,2.94E-05,1.78E-05,3.81E-05,3.10E-05,2.81E-05,2868.26,160001,3.81E-05,3.81E-05
2018-09-10 00:00:00+01:00,S&P500,1.03E-05,9.91E-06,5.52E-06,1.52E-05,5.52E-06,9.91E-06,5.52E-06,1.04E-05,1.46E-05,9.33E-06,2881.39,160001,1.03E-05,1.04E-05
2018-09-11 00:00:00+01:00,S&P500,1.47E-05,1.75E-05,5.42E-06,1.23E-05,5.34E-06,1.75E-05,5.34E-06,1.29E-05,1.24E-05,1.83E-05,2871.57,160001,1.47E-05,1.29E-05
2018-09-12 00:00:00+01:00,S&P500,2.49E-05,2.07E-05,1.18E-05,2.34E-05,1.05E-05,2.07E-05,1.05E-05,2.48E-05,2.28E-05,2.62E-05,2888.29,160001,2.49E-05,2.48E-05
2018-09-13 00:00:00+01:00,S&P500,1.27E-05,1.63E-05,3.96E-06,1.58E-05,5.79E-06,1.63E-05,5.79E-06,1.21E-05,1.60E-05,1.39E-05,2896.85,160001,1.27E-05,1.21E-05
2018-09-14 00:00:00+01:00,S&P500,1.28E-05,1.32E-05,4.08E-06,1.49E-05,9.12E-06,1.32E-05,9.12E-06,9.03E-06,1.48E-05,1.05E-05,2906.38,160001,1.28E-05,9.03E-06
2018-09-17 00:00:00+01:00,S&P500,8.42E-06,8.52E-06,4.06E-06,1.33E-05,5.59E-06,8.52E-06,5.59E-06,8.66E-06,1.33E-05,9.59E-06,2903.83,160001,8.42E-06,8.66E-06
2018-09-18 00:00:00+01:00,S&P500,1.42E-05,1.53E-05,5.08E-06,1.16E-05,3.25E-06,1.53E-05,3.25E-06,9.29E-06,1.12E-05,1.57E-05,2890.74,160001,1.42E-05,9.29E-06
2018-09-19 00:00:00+01:00,S&P500,1.06E-05,1.03E-05,4.01E-06,1.03E-05,4.47E-06,1.03E-05,4.47E-06,8.86E-06,1.04E-05,5.93E-06,2906.6,160001,1.06E-05,8.86E-06
2018-09-20 00:00:00+01:00,S&P500,8.31E-06,7.72E-06,2.01E-06,9.75E-06,3.14E-06,7.72E-06,3.14E-06,6.78E-06,9.62E-06,5.19E-06,2919.73,160001,8.31E-06,6.78E-06
2018-09-21 00:00:00+01:00,S&P500,6.78E-06,6.57E-06,3.41E-06,8.83E-06,4.21E-06,6.57E-06,4.21E-06,6.05E-06,8.92E-06,5.68E-06,2936.76,160000,6.78E-06,6.05E-06
2018-09-24 00:00:00+01:00,S&P500,1.12E-05,8.16E-06,3.94E-06,1.26E-05,5.79E-06,8.16E-06,5.79E-06,9.16E-06,1.33E-05,7.00E-06,2921.83,160000,1.12E-05,9.16E-06
2018-09-25 00:00:00+01:00,S&P500,8.02E-06,7.50E-06,2.61E-06,8.19E-06,5.41E-06,7.50E-06,5.41E-06,5.83E-06,8.42E-06,5.75E-06,2921.75,160001,8.02E-06,5.83E-06
2017-12-01 00:00:00+00:00,ShanghaiComposite,4.66E-05,3.66E-05,8.35E-06,2.26E-05,2.18E-05,3.66E-05,2.18E-05,4.36E-05,2.35E-05,3.03E-05,3314.2711,145959,4.66E-05,4.36E-05
2017-12-04 00:00:00+00:00,ShanghaiComposite,3.54E-05,2.94E-05,9.57E-06,1.84E-05,1.43E-05,2.94E-05,1.43E-05,3.65E-05,1.89E-05,2.34E-05,3310.1466,145958,3.54E-05,3.65E-05
2017-12-05 00:00:00+00:00,ShanghaiComposite,2.52E-05,2.96E-05,5.56E-06,3.26E-05,1.15E-05,2.96E-05,1.15E-05,3.04E-05,3.35E-05,7.67E-06,3304.6673,150004,2.52E-05,3.04E-05
2017-12-06 00:00:00+00:00,ShanghaiComposite,5.35E-05,7.64E-05,1.08E-05,3.22E-05,2.59E-05,7.64E-05,2.59E-05,5.21E-05,3.29E-05,7.76E-05,3291.1628,145959,5.35E-05,5.21E-05
2017-12-07 00:00:00+00:00,ShanghaiComposite,3.66E-05,3.46E-05,1.59E-05,2.11E-05,1.57E-05,3.46E-05,1.57E-05,3.23E-05,2.19E-05,3.78E-05,3281.5391,150004,3.66E-05,3.23E-05
2017-12-08 00:00:00+00:00,ShanghaiComposite,3.86E-05,3.91E-05,9.68E-06,1.55E-05,1.01E-05,3.91E-05,1.01E-05,4.03E-05,1.56E-05,5.27E-05,3263.7051,150002,3.86E-05,4.03E-05
2017-12-11 00:00:00+00:00,ShanghaiComposite,2.02E-05,2.21E-05,6.55E-06,7.89E-06,4.42E-06,2.21E-05,4.42E-06,1.88E-05,6.83E-06,2.25E-05,3290.7505,150005,2.02E-05,1.88E-05
2017-12-12 00:00:00+00:00,ShanghaiComposite,2.32E-05,2.71E-05,5.07E-06,1.01E-05,1.90E-05,2.71E-05,1.90E-05,1.74E-05,9.89E-06,2.60E-05,3319.8777,150002,2.32E-05,1.74E-05
2017-12-13 00:00:00+00:00,ShanghaiComposite,3.43E-05,3.32E-05,1.26E-05,1.35E-05,1.07E-05,3.32E-05,1.07E-05,3.61E-05,1.38E-05,3.31E-05,3278.7481,150005,3.43E-05,3.61E-05
2017-12-14 00:00:00+00:00,ShanghaiComposite,3.44E-05,3.04E-05,8.44E-06,1.65E-05,1.59E-05,3.04E-05,1.59E-05,2.97E-05,1.64E-05,2.46E-05,3302.9198,150002,3.44E-05,2.97E-05
2017-12-15 00:00:00+00:00,ShanghaiComposite,3.89E-05,3.66E-05,1.46E-05,1.56E-05,2.51E-05,3.66E-05,2.51E-05,4.01E-05,1.63E-05,3.75E-05,3286.8149,150001,3.89E-05,4.01E-05
2017-12-18 00:00:00+00:00,ShanghaiComposite,3.85E-05,4.50E-05,1.32E-05,2.04E-05,1.87E-05,4.50E-05,1.87E-05,4.16E-05,2.11E-05,3.14E-05,3268.4452,150000,3.85E-05,4.16E-05
2017-12-19 00:00:00+00:00,ShanghaiComposite,1.56E-05,2.06E-05,1.80E-06,8.59E-06,3.16E-06,2.06E-05,3.16E-06,1.06E-05,8.06E-06,2.78E-05,3267.0958,150002,1.56E-05,1.06E-05
2017-12-20 00:00:00+00:00,ShanghaiComposite,2.89E-05,3.26E-05,9.04E-06,1.59E-05,1.50E-05,3.26E-05,1.50E-05,2.44E-05,1.66E-05,1.71E-05,3296.4262,145956,2.89E-05,2.44E-05
2017-12-21 00:00:00+00:00,ShanghaiComposite,3.42E-05,3.95E-05,9.16E-06,1.93E-05,8.81E-06,3.95E-05,8.81E-06,2.59E-05,1.93E-05,5.10E-05,3281.0602,150003,3.42E-05,2.59E-05
2017-12-22 00:00:00+00:00,ShanghaiComposite,1.49E-05,1.40E-05,5.74E-06,7.75E-06,6.45E-06,1.40E-05,6.45E-06,1.46E-05,6.85E-06,8.45E-06,3297.1358,150002,1.49E-05,1.46E-05
2017-12-25 00:00:00+00:00,ShanghaiComposite,3.69E-05,3.66E-05,7.56E-06,1.35E-05,1.94E-05,3.66E-05,1.94E-05,2.96E-05,1.34E-05,4.03E-05,3296.9214,150002,3.69E-05,2.96E-05
2017-12-26 00:00:00+00:00,ShanghaiComposite,3.22E-05,3.97E-05,1.72E-05,1.55E-05,9.02E-06,3.97E-05,9.02E-06,3.24E-05,1.59E-05,3.89E-05,3278.2432,150001,3.22E-05,3.24E-05
2017-12-27 00:00:00+00:00,ShanghaiComposite,4.04E-05,3.31E-05,1.39E-05,1.83E-05,2.87E-05,3.31E-05,2.87E-05,4.03E-05,1.83E-05,2.93E-05,3302.479,145958,4.04E-05,4.03E-05
2017-12-28 00:00:00+00:00,ShanghaiComposite,3.85E-05,5.50E-05,9.49E-06,1.48E-05,1.30E-05,5.50E-05,1.30E-05,3.53E-05,1.50E-05,3.70E-05,3272.3481,145959,3.85E-05,3.53E-05
